character_id,tier,Trait
Ahri,4,KDA,Spellweaver
Akali,4,KDA,Executioner
Amumu,3,Emo,Guardian
Annie,1,Emo,Spellweaver
Aphelios,2,PopBand,Quickshot
Bard,2,Jazz,Dazzler
Blitzcrank,4,Funk,Sentinel
Caitlyn,4,8Bit,Quickshot
Corki,1,8Bit,Deadeye
Ekko,3,TrueDamage,Spellweaver,Sentinel
Evelynn,1,KDA,CrowdDive
Ezreal,4,PopBand,Deadeye
Gnar,2,Pentakill,Superfan,Fighter
Gragas,2,Funk,Spellweaver,Brawler
Illaoi,5,Brawler
Jax,2,EDM,Fighter
Jhin,5,Deadeye
Jinx,1,PunkRock,Quickshot
Karthus,4,Pentakill,Executioner
Katarina,2,Country,CrowdDive
Kayle,2,Pentakill,Edgelord
Kayn,5,PopBand,Edgelord
Kennen,1,TrueDamage,Superfan,Guardian
Lillia,1,KDA,Superfan,Sentinel
Lucian,5,Jazz,Quickshot
Lulu,3,Hyperpop,Spellweaver
Lux,3,EDM,Dazzler
Mordekaiser,3,Pentakill,Sentinel
Nami,1,Funk,Dazzler
Neeko,3,KDA,Superfan,Guardian
Pantheon,2,PunkRock,Guardian
Poppy,4,Emo,Fighter
Qiyana,5,TrueDamage,CrowdDive
Riven,3,8Bit,Edgelord
Samira,3,Country,Executioner
Senna,2,TrueDamage,Quickshot
Seraphine,2,KDA,Spellweaver
Sett,3,PopBand,Brawler,Fighter
Sona,5,Spellweaver
Taric,1,Funk,Guardian
Thresh,4,Country,Guardian
Twitch,2,PunkRock,Executioner
Urgot,3,Country,Fighter
Vex,3,Emo,Executioner
Vi,1,PunkRock,Fighter
Viego,4,Pentakill,Edgelord
Yasuo,1,TrueDamage,Edgelord
Yone,3,PopBand,Edgelord,CrowdDive
Yorick,5,Pentakill,Fighter,Guardian
Zac,4,EDM,Brawler
Zed,4,EDM,CrowdDive
Ziggs,5,Hyperpop,Dazzler
MissFortune,3,Jazz,Deadeye
Olaf,1,Pentakill,Brawler
TahmKench,1,Country,Brawler
TwistedFate,4,Funk,Dazzler
KSante,1,PopBand,Sentinel
Kaisa,2,KDA,Deadeye
Garen,2,8Bit,Sentinel
